# Every metric family the Python api registers, with its Go status: the
# route-counter inventory. Two venue tests check it by execution:
# TestCounterParityVenueOracle (every import-time family is named with its
# type; ported and partial rows are the counters it compares) and
# TestPythonMetricsTableSweepVenueOracle (runs the Python api's route tests
# with a plugin that records the route each family fires under).
# Columns (TAB separated): <family> <type> <status> <routes> <note>
#   type   lazy:<type> = registered only when its code first runs, so absent
#          from the import-time listing
#   routes the ";"-separated routes ("<METHODS> <path>") the family fired
#          under in the sweep, plus the route the parity oracle drives it
#          through; "-" when it fired under none. The sweep requires exactly
#          this list.
#   status (the sweep checks each against the dho api's route set)
#     ported           = compared by the oracle; the dho api serves every listed route
#     partial          = compared by the oracle; the dho api serves some listed routes
#                        and does not count it on the others (note)
#     route-missing    = the dho api serves a listed route and does not count it yet
#     unreached        = the source fires it from a route (note), but no Python test
#                        fires it under a route, so no route is listed
#     route-not-ported = fired by a Python route the dho api does not serve
#     other-go-service = fired by a route another Go service serves (the query-api)
#     worker           = fired by job/worker code, not an api route
#     python-only      = Python-api machinery with no Go counterpart to port
#     retired          = fired by code that no longer runs (Celery)
#     unused           = no caller left in the Python source; the sweep never fires it
#     runtime          = a process/interpreter collector
credential_mapping_rejected	counter	partial	POST /api/v1/admin/credentials/test;POST /api/v1/admin/sync-configs	POST /api/v1/admin/credentials/test is compared (a Jira credential missing api_token, email or base_url); POST /api/v1/admin/sync-configs (sweep) counts through providerfoundation.NewJiraClient but the oracle does not drive it until jira_project_discovery_total is ported (its discovery moves both counters); also sync workers (credentials/resolver.py)
dev_health_metric_compat_child_silence_seconds	histogram	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
dev_health_metrics_family_failures	counter	worker	-	metrics/job_daily.py (source)
dev_health_otel_init_failures	counter	python-only	-	tracing.py: Python process start-up
dev_health_team_attribution_membership_layer	counter	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
dev_health_team_autoimport_reference_category_outcome	counter	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
dev_health_team_autoimport_reference_subitem_skipped	counter	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
dev_health_team_autoimport_roster_preservation_failed	counter	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
dev_health_work_item_team_attributions_written	counter	worker	-	metrics/compute_work_items.py, metrics/sinks/clickhouse/core.py (source)
devhealth_ask_dev_internal_token_leak	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_narrative_fallback	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_plan_registry_gap	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_platform_model_unpriced	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_qua_commit	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_qua_shadow	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_qua_shadow_cardinality_uncorroborated	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_qua_shadow_fault	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_qua_shadow_latency_seconds	histogram	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_tool_executor_fault	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_unhandled_run_fault	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_ask_dev_unregistered_terminal_code	counter	route-not-ported	-	ask-dev (api/dev/*), not a dho api route
devhealth_byo_llm_base_url_fallback	counter	other-go-service	-	llm/credentials.py: the LLM explain routes, served by the query-api
devhealth_byo_llm_base_url_fallback_alert	counter	other-go-service	-	llm/credentials.py: the LLM explain routes, served by the query-api
devhealth_celery_task_duration_seconds	histogram	retired	-	workers/celery_app.py: Celery is retired
devhealth_celery_tasks	counter	retired	-	workers/celery_app.py: Celery is retired
devhealth_clickhouse_org_scope_rows_filtered	counter	worker	-	metrics/loaders/clickhouse.py (source)
devhealth_clickhouse_queries	counter	unused	-	no caller in src/dev_health_ops outside metrics/prometheus.py (source)
