source_path	target_path	status
/api/graphql-overview/	/reference/graphql/	planned
/graphql/	/reference/graphql/	planned
/api/graphql-security/	/reference/api/authentication/	planned
/api/persisted-queries/	/reference/graphql/filters/	planned
/api/web-graphql-investment/	/reference/graphql/schema/	planned
/cli/	/reference/cli/	planned
/ops/cli-reference/	/reference/cli/	planned
/configuration/	/reference/configuration/	planned
/customer-push-ingestion/api-reference/	/reference/api/	planned
/customer-push-ingestion/schemas-and-idempotency/	/reference/schemas/record-kinds-and-enums/	planned
/canonical-metrics/	/reference/metrics/	planned
/metrics/	/reference/metrics/	planned
/metrics-inventory/	/reference/metrics/	planned
/computations/	/reference/metrics/	planned
/architecture/investment-data-model/	/reference/data-models/investment/	planned
/architecture/team-attribution/	/reference/data-models/work-graph/	planned
/connectors/usage/	/reference/limits-and-compatibility/provider-limits/	planned
