source_path	target_path	disposition	migration_phase	source_file
/alerting/	/operate/observe/dashboards-and-alerts/	move-and-rewrite	Phase 7	docs/alerting.md
/api/graphql-ai/	/reference/graphql/schema/	move-and-rewrite	Phase 8	docs/api/graphql-ai.md
/api/graphql-overview/	/reference/graphql/	merge-and-rewrite	Phase 8	docs/api/graphql-overview.md
/api/graphql-security/	/reference/api/authentication/	move-and-rewrite	Phase 8	docs/api/graphql-security.md
/api/investment-api/	/reference/api/	move-and-rewrite	Phase 8	docs/api/investment-api.md
/api/operating-review/	/reference/api/	move-and-rewrite	Phase 8	docs/api/operating-review.md
/api/persisted-queries/	/reference/graphql/filters/	move-and-rewrite	Phase 8	docs/api/persisted-queries.md
/api/team-catalog-source-of-truth/	/reference/data-models/work-graph/	move-and-rewrite	Phase 8	docs/api/team-catalog-source-of-truth.md
/api/view-mapping/	/reference/api/	move-and-rewrite	Phase 8	docs/api/view-mapping.md
/api/web-graphql-client/	/integrate/api/graphql/	merge-and-rewrite	Phase 8	docs/api/web-graphql-client.md
/api/web-graphql-investment/	/reference/graphql/schema/	merge-and-rewrite	Phase 8	docs/api/web-graphql-investment.md
/architecture/	/contribute/architecture/	move-and-rewrite	Phase 8	docs/architecture.md
/architecture/adr-001-canonical-provider-pattern/	/contribute/architecture/contracts/	merge-and-rewrite	Phase 8	docs/architecture/adr-001-canonical-provider-pattern.md
/architecture/adr-003-external-ingest-rest-boundary/	/integrate/customer-push/	merge-and-rewrite	Phase 8	docs/architecture/adr-003-external-ingest-rest-boundary.md
/architecture/adr-004-webhook-assisted-customer-push-ingestion/	/integrate/webhooks/	merge-and-rewrite	Phase 8	docs/architecture/adr-004-webhook-assisted-customer-push-ingestion.md
/architecture/adr-005-external-ingest-schema-discovery/	/reference/schemas/record-kinds-and-enums/	merge-and-rewrite	Phase 8	docs/architecture/adr-005-external-ingest-schema-discovery.md
/architecture/adr/001-enterprise-edition/	/contribute/architecture/platform/	merge-and-rewrite	Phase 8	docs/architecture/adr/001-enterprise-edition.md
/architecture/adr/002-investment-period-components/	/reference/data-models/investment/	merge-and-rewrite	Phase 8	docs/architecture/adr/002-investment-period-components.md
/architecture/ai-attribution/	/contribute/architecture/contracts/	move-and-rewrite	Phase 8	docs/architecture/ai-attribution.md
/architecture/ai-reports-architecture/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/ai-reports-architecture.md
/architecture/auth-journey/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/auth-journey.md
/architecture/byo-llm-architecture/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/byo-llm-architecture.md
/architecture/canonical-operational-model/	/reference/data-models/	move-and-rewrite	Phase 8	docs/architecture/canonical-operational-model.md
/architecture/customer-push-authz/	/reference/api/authentication/	move-and-rewrite	Phase 8	docs/architecture/customer-push-authz.md
/architecture/customer-push-cli-and-examples/	/integrate/customer-push/submit-records/	move-and-rewrite	Phase 8	docs/architecture/customer-push-cli-and-examples.md
/architecture/data-pipeline/	/contribute/architecture/data-and-storage/	move-and-rewrite	Phase 8	docs/architecture/data-pipeline.md
/architecture/database-architecture/	/contribute/architecture/data-and-storage/	move-and-rewrite	Phase 8	docs/architecture/database-architecture.md
/architecture/dispatch-outbox/	/contribute/architecture/data-and-storage/	move-and-rewrite	Phase 8	docs/architecture/dispatch-outbox.md
/architecture/enterprise-overview/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/enterprise-overview.md
/architecture/external-ingest-bounded-recompute/	/contribute/architecture/contracts/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-bounded-recompute.md
/architecture/external-ingest-idempotency-ownership/	/reference/data-models/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-idempotency-ownership.md
/architecture/external-ingest-rest-contract/	/reference/api/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-rest-contract.md
/architecture/external-ingest-sink-writes/	/contribute/architecture/data-and-storage/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-sink-writes.md
/architecture/external-ingest-status-store/	/reference/data-models/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-status-store.md
/architecture/external-ingest-stream-design/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-stream-design.md
/architecture/external-ingest-worker/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/external-ingest-worker.md
/architecture/frontend-architecture/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/frontend-architecture.md
/architecture/investment-categorization-pipeline/	/reference/data-models/investment/	move-and-rewrite	Phase 8	docs/architecture/investment-categorization-pipeline.md
/architecture/investment-data-model/	/reference/data-models/investment/	move-and-rewrite	Phase 8	docs/architecture/investment-data-model.md
/architecture/launchdarkly-sync-budgeting/	/operate/run/operational-controls/	move-and-rewrite	Phase 7	docs/architecture/launchdarkly-sync-budgeting.md
/architecture/licensing/	/reference/limits-and-compatibility/compatibility/	move-and-rewrite	Phase 8	docs/architecture/licensing.md
/architecture/middleware-impersonation/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/middleware-impersonation.md
/architecture/normalization-helpers/	/contribute/architecture/contracts/	move-and-rewrite	Phase 8	docs/architecture/normalization-helpers.md
/architecture/platform-sync-observability/	/operate/observe/metrics-and-traces/	move-and-rewrite	Phase 7	docs/architecture/platform-sync-observability.md
/architecture/repo-layout/	/contribute/start/repository-map/	move-and-rewrite	Phase 8	docs/architecture/repo-layout.md
/architecture/scoring-methodology/	/reference/metrics/definitions/	move-and-rewrite	Phase 8	docs/architecture/scoring-methodology.md
/architecture/sync-unit-model/	/reference/data-models/	move-and-rewrite	Phase 8	docs/architecture/sync-unit-model.md
/architecture/sync-usage-actuals/	/operate/observe/metrics-and-traces/	move-and-rewrite	Phase 7	docs/architecture/sync-usage-actuals.md
/architecture/team-attribution/	/reference/data-models/work-graph/	move-and-rewrite	Phase 8	docs/architecture/team-attribution.md
/architecture/testops-architecture/	/contribute/architecture/platform/	move-and-rewrite	Phase 8	docs/architecture/testops-architecture.md
/architecture/testops-dependency-boundaries/	/contribute/architecture/contracts/	move-and-rewrite	Phase 8	docs/architecture/testops-dependency-boundaries.md
/architecture/testops-entity-resolution/	/reference/data-models/	move-and-rewrite	Phase 8	docs/architecture/testops-entity-resolution.md
/architecture/worker-scaling-readiness/	/operate/plan/capacity-and-sizing/	move-and-rewrite	Phase 7	docs/architecture/worker-scaling-readiness.md
/canonical-metrics/	/reference/metrics/	merge-and-generate	Phase 8	docs/canonical-metrics.md
/cli/	/reference/cli/	move-and-rewrite	Phase 8	docs/cli.md
/computations/	/reference/metrics/	move-and-rewrite	Phase 8	docs/computations/index.md
/computations/ai-opportunity-detector/	/reference/metrics/definitions/	move-and-rewrite	Phase 8	docs/computations/ai-opportunity-detector.md
/computations/compounding-risk/	/reference/metrics/definitions/	move-and-rewrite	Phase 8	docs/computations/compounding-risk.md
/computations/metric-calculations/	/reference/metrics/definitions/	move-and-generate	Phase 8	docs/computations/metric-calculations.md
/configuration/	/reference/configuration/	split-and-rewrite	Phase 8	docs/configuration.md
/connectors/gitlab-permissions/	/admin/data-sources/gitlab/	move-and-rewrite	Phase 7	docs/connectors/gitlab-permissions.md
/connectors/private-repo-testing/	/contribute/development/testing/	move-and-rewrite	Phase 8	docs/connectors/private-repo-testing.md
/connectors/usage/	/reference/limits-and-compatibility/provider-limits/	move-and-rewrite	Phase 8	docs/connectors/usage.md
/contributing/platform-contract/	/contribute/architecture/contracts/	move-and-rewrite	Phase 8	docs/contributing/platform-contract.md
/customer-push-ingestion/api-reference/	/reference/api/	move-and-rewrite	Phase 8	docs/customer-push-ingestion/api-reference.md
/customer-push-ingestion/ci-cd/	/integrate/customer-push/submit-records/	move-and-rewrite	Phase 8	docs/customer-push-ingestion/ci-cd.md
/customer-push-ingestion/examples/	/integrate/customer-push/submit-records/	move-and-rewrite	Phase 8	docs/customer-push-ingestion/examples.md
/customer-push-ingestion/overview/	/integrate/customer-push/	move-and-rewrite	Phase 8	docs/customer-push-ingestion/overview.md
